dataset,spearman_corr,spearman_p,mse,mae,n_samples
kermut_fold_random_5,0.7694545978834572,0.0,0.37674436720572024,0.454846286688666,3066
kermut_fold_modulo_5,0.7660661321669828,0.0,0.3555845000303246,0.4655022294550942,6370
kermut_fold_random_5,0.7657847224351209,0.0,0.3222365006778906,0.4256929063221469,7467
kermut_fold_modulo_5,0.7656368508351461,8.486126623418277e-185,0.41422958730478493,0.49680200360061255,955
kermut_fold_random_5,0.764588042334087,2.939962607612904e-48,0.44284633647941224,0.5342852755902041,245
kermut_fold_random_5,0.7626668073619682,0.0,0.4079268387299319,0.48953866237281934,1777
kermut_fold_random_5,0.7612837047726819,1.9163763399453843e-298,0.3489418625767896,0.3834138465682678,1576
kermut_fold_random_5,0.7612815451408672,0.0,0.4386118768883797,0.49003618837371854,2999
kermut_fold_random_5,0.7610874075611938,0.0,0.445061880852076,0.4870699180499217,2172
kermut_fold_random_5,0.7599396338298879,0.0,0.4852362767660199,0.42509764312354825,14421
kermut_fold_modulo_5,0.7593879757199231,6.197867766533959e-168,0.3897393111225166,0.46228297931478657,890
kermut_fold_random_5,0.7583664963596373,2.127057306633566e-258,0.28351068251646777,0.34929324237299275,1380
kermut_fold_random_5,0.7583533407207812,6.740606685428259e-249,0.2339792674460224,0.3281796482571783,1329
kermut_fold_modulo_5,0.7550000649097357,1.393619359713588e-186,0.3556371610821332,0.4292970121028671,1008
kermut_fold_modulo_5,0.7539738142437791,3.004958652430854e-223,0.47104723828823003,0.5080869859643034,1213
kermut_fold_random_5,0.7521176800217895,0.0,0.3951552193880103,0.43425825685355907,2363
kermut_fold_modulo_5,0.7505328439114766,0.0,0.3601631166806796,0.43226024779300476,8756
kermut_fold_modulo_5,0.7490506320162048,4.0306164337713286e-214,0.4164760797144245,0.49996626641794434,1187
kermut_fold_random_5,0.7489807171317394,4.429579440037922e-144,0.4055299450082175,0.4952954713238693,796
kermut_fold_modulo_5,0.744738872346194,1.490141749544616e-175,0.36970172272328083,0.45615779823814967,989
kermut_fold_modulo_5,0.7445979476342555,4.9558496796164e-206,0.39983032523533557,0.4872652058953568,1163
kermut_fold_modulo_5,0.743721047153571,3.7125324382319986e-185,0.4306701182333614,0.5276085925561069,1048
kermut_fold_random_5,0.743066974431105,0.0,0.4144474491791401,0.4924938133156485,9462
kermut_fold_random_5,0.7413925211833738,2.1263367737139568e-273,0.46279315784612113,0.5135605657173983,1567
kermut_fold_modulo_5,0.7412388233709463,0.0,0.5113381467817057,0.5418526419601704,4960
kermut_fold_modulo_5,0.7401765106424592,4.49739740724002e-117,0.38416012278599376,0.466723882214006,669
kermut_fold_random_5,0.7401369833696021,0.0,0.4208065485786631,0.4910461382199062,7467
kermut_fold_random_5,0.7400803313445045,0.0,0.5039216618036143,0.4592420627434853,3637
kermut_fold_modulo_5,0.7382547291755811,3.902829238127881e-177,0.4590597269132986,0.5226478395465367,1025
kermut_fold_random_5,0.7381056120723991,4.1002594653918446e-206,0.4919454344523344,0.5501298580662762,1195
kermut_fold_modulo_5,0.7375109713193189,0.0,0.4298549922047946,0.49981641060454063,9803
kermut_fold_random_5,0.7367549358534539,7.540431511260557e-215,0.4488802995762802,0.48296588319845174,1253
kermut_fold_random_5,0.7358210962151196,0.0,0.5018478620071732,0.5214708750913511,11576
kermut_fold_modulo_5,0.7357172739739541,1.0814387797635308e-302,0.4612962749551379,0.5242098303281936,1777
kermut_fold_random_5,0.734089146553092,0.0,0.5115594938530031,0.5010995271256595,3366
kermut_fold_modulo_5,0.7337982220260577,5.603558676753299e-257,0.4577711429936975,0.5271328027113641,1519
kermut_fold_random_5,0.7325861161632033,0.0,0.44316074066325534,0.5025429243820473,16853
kermut_fold_random_5,0.732454217839683,0.0,0.5215334308363856,0.5130580588209005,2563
kermut_fold_random_5,0.7312933151859327,4.0987110284571826e-51,0.4337845093651665,0.44630298685436237,298
kermut_fold_random_5,0.7274383565303343,1.8610461618341668e-28,0.4405674769189795,0.4924913002866667,165
kermut_fold_random_5,0.7273061513880469,6.556498295813519e-55,0.496971589935647,0.5118894037208589,326
kermut_fold_modulo_5,0.7248791173563434,3.544619907976917e-28,0.4736190844713966,0.5348656693048485,165
kermut_fold_modulo_5,0.7248269727754655,2.7962428059885562e-195,0.5325056094846187,0.5382923436644351,1195
kermut_fold_modulo_5,0.7237631664288742,3.530149018448439e-111,0.5005733709599807,0.5056439313081003,679
kermut_fold_random_5,0.7228498473882573,0.0,0.43850676669144295,0.45427993192713007,2223
kermut_fold_modulo_5,0.7218280222120707,0.0,0.477883261968445,0.514122088930867,2999
kermut_fold_modulo_5,0.7213118999764769,1.413860202188555e-160,0.406368988031647,0.482817520285793,995
kermut_fold_modulo_5,0.7199277483128953,0.0,0.49293594857156264,0.5180945537804342,2395
kermut_fold_modulo_5,0.7196620583717358,3.0163120096738314e-11,0.4866682857453888,0.5522287132619047,63
kermut_fold_modulo_5,0.7188191543054544,0.0,0.47052877908827717,0.5064721559763753,3134
kermut_fold_random_5,0.7175349438151168,0.0,0.26948824664959536,0.3622713875252911,4277
kermut_fold_modulo_5,0.7171522117269291,3.44684137766306e-123,0.4852541285198958,0.5117629401476744,774
kermut_fold_random_5,0.7165881444570449,0.0,0.2253048468100596,0.30308641345352766,4323
